N,L=1,L=3,L=5,L=7,L=10
282,3.477019155541838,1.4941628144181405,1.1087671213609724,0.9948091986933985,0.9706428805649956
283,3.4893490107033336,1.4982296492600125,1.1107867394411786,0.9956420768116387,0.9710412826534195
284,3.5016788658648297,1.5022972475062297,1.1128111809581964,0.9964762131117048,0.9714356973390922
285,3.514008721026326,1.506365600583371,1.1148404578162252,0.997311696748048,0.9718261923863346
286,3.5263385761878236,1.5104346998869682,1.11687458067516,0.9981486158352102,0.9722128349867311
287,3.538668431349317,1.514504536786575,1.1189135589703638,0.9989870574516957,0.9725956917678502
288,3.5509982865108136,1.5185751026306393,1.1209574009323453,0.9998271076438022,0.9729748288018365
289,3.5633281416723097,1.5226463887512287,1.1230061136063183,1.0006688514294237,0.9733503116138732
290,3.575657996833806,1.526718386468582,1.1250597028716527,1.00151237280182,0.9737222051905225
291,3.587987851995302,1.5307910870954937,1.1271181734612137,1.0023577547333646,0.9740905739879404
292,3.6003177071567967,1.5348644819415542,1.1291815289805884,1.0032050791792588,0.974455481939969
293,3.6126475623182936,1.5389385623172283,1.1312497719271921,1.0040544270812246,0.9748169924661049
294,3.6249774174797897,1.5430133195377864,1.1333229037092598,1.0049058783711775,0.9751751684793493
295,3.6373072726412863,1.5470887449270887,1.1354009246647272,1.005759511974873,0.9755300723939364
296,3.649637127802781,1.5511648298212304,1.1374838340799813,1.0066154058155392,0.9758817661329435
297,3.661966982964276,1.5552415655720444,1.139571630208496,1.007473636817489,0.9762303111357848
298,3.6742968381257723,1.5593189435504704,1.1416643102893476,1.0083342809097182,0.9765757683655868
299,3.6866266932872684,1.5633969551497955,1.1437618705656074,1.0091974130294838,0.976918198316449
